Facility.Type,Facility_Name,Facility.Address,subsidized_child_care?,Licensee,City,Latitude,Longitude,Capacity,Status,License_first_date,Closed_date,Facility_code,License_yearmon,Closed_yearmon,X.44
DAY CARE CENTER,CANAAN PRE-SCHOOL,17200 CLARK AVE.,n,KOREAN CANAAN PRESBYTERIAN CHURCH-LIM KWANG SUN,BELLFLOWER,33.8761687,-118.1335106,62,Licensed,11/20/91,,1,Nov-91,,767
SCHOOL AGE DAY CARE CENTER,CANAAN PRESCHOOL,17200 CLARK AVENUE,,CANAAN PRESCHOOL,BELLFLOWER,33.8761687,-118.1335106,25,Inactive,12/13/99,,3,Dec-99,,4287
SCHOOL AGE DAY CARE CENTER,CAROUSEL'S AFTER SCHOOL PROGRAM AT SALVIN,1925 S. BUDLONG AVE.,n,"INTERVENTION SERVICES, INC.",LOS ANGELES,34.037974,-118.296792,50,Licensed,3/11/96,,1,Mar-96,,4292
DAY CARE CENTER,CDI HEAD START SERVING S.L.A. COUNTY - CENTURY,1700 IMPERIAL EAST HIGHWAY,,C.D.I. HEAD START SERVING S.L.A. COUNTY,LOS ANGELES,33.9290892,-118.2420904,80,Closed,3/2/09,10/22/12,2,9-Mar,12-Oct,854
SCHOOL AGE DAY CARE CENTER,"CHILD EDUCATIONAL CENTER, CALTECH/JPL COMMUNITY",4540 ENCINAS DRIVE,n,"CHILD EDUCATIONAL CENTER, CALTECH/JPL COMMUNITY",LA CANADA,34.2084032,-118.2058019,154,Licensed,11/24/97,,1,Nov-97,,4312
DAY CARE CENTER,CHILDREN'S CORNER PRESCHOOL & KINDERGARTEN,7023 HASKELL AVENUE,n,A PLUS EDUCATION LLC,VAN NUYS,34.198239,-118.475273,50,Licensed,12/1/14,,1,14-Dec,,932
DAY CARE CENTER,CHILDREN'S CORNER PRESCHOOL & KINDERGARTEN,7023 HASKELL AVENUE,,CHILDREN'S CORNER PRESCHOOL CORP.,VAN NUYS,34.198239,-118.475273,50,Closed,7/8/09,3/15/11,2,9-Jul,11-Mar,930
DAY CARE CENTER,CHILDREN'S CORNER PRESCHOOL & KINDERGARTEN,7023 HASKELL AVENUE,,CHILDREN'S CORNER PRESCHOOL CORP.,VAN NUYS,34.198239,-118.475273,50,Closed,7/8/09,3/15/11,2,9-Jul,11-Mar,931
DAY CARE CENTER,"CHILDRENS COLLECTIVE, THE",6330 S FIGUEROA ST,n,"CHILDRENS COLLECTIVE, THE",LOS ANGELES,33.9815827,-118.2823559,50,Pending,,,4,,,955
INFANT CENTER,CHRIST LUTHERAN INFANT CENTER,6500 STEARNS ST.,n,CHRIST LUTHERAN CHURCH,LONG BEACH,33.7952238,-118.1042154,9,Licensed,1/12/96,,1,Jan-96,,3767
DAY CARE CENTER,CHRIST LUTHERAN PRE-SCHOOL,6500 STEARNS,n,CHRIST LUTHERAN CHURCH,LONG BEACH,33.7952238,-118.1042154,59,Licensed,7/14/93,,1,Jul-93,,965
DAY CARE CENTER,CII/OTIS BOOTH CDC,424 N. LAKE STREET,y,CHILDREN'S INSTITUTE INCORPORATED,LOS ANGELES,34.0713693,-118.2686107,48,Licensed,8/5/11,,1,11-Aug,,980
DAY CARE CENTER,CITY OF SANTA FE SPRINGS FAMILY CENTER,9255 S. PIONEERBLVD,y,CITY OF SANTA FE SPRINGS,SANTA FE SPRINGS,33.9587816,-118.0854434,72,Licensed,2/2/13,,1,13-Feb,,994
DAY CARE CENTER,CITY TERRACE,3260 MARENGO STREET,n,"PLAZA DE LA RAZA CHILD DEVELOPMENT SERVICES, INC.",LOS ANGELES,34.0547631,-118.1906195,30,Licensed,9/15/14,,1,14-Sep,,996
DAY CARE CENTER,CITY TERRACE - PACE HEAD START,3260 MARENGO STREET,,PACIFIC ASIAN CONSORTIUM IN EMPLOYMENT,LOS ANGELES,34.0547631,-118.1906195,30,Closed,8/1/07,6/30/14,2,7-Aug,14-Jun,997
DAY CARE CENTER,COUNTY KIDS CENTER,2916 SOUTH HOPE STREET,,USC SCHOOL FOR EARLY CHILDHOOD EDUCATION,LOS ANGELES,34.0241426,-118.274974,20,Closed,5/8/08,3/15/13,2,8-May,13-Mar,1059
DAY CARE CENTER,COUNTY KIDS' PLACE,2916 HOPE ST.,n,KNOWLEDGE UNIVERSE EDUCATION LLC,LOS ANGELES,34.0241426,-118.274974,59,Licensed,2/22/99,,1,Feb-99,,1058
INFANT CENTER,COUNTY KIDS' PLACE,2916 HOPE STREET,n,KNOWLEDGE UNIVERSE EDUCATION LLC,LOS ANGELES,34.0241426,-118.274974,12,Licensed,2/22/99,,1,Feb-99,,3784
DAY CARE CENTER,CREATIVE SPACE,11916 W. PICO BOULEVARD,,"CREATIVE SPACE, L.L.C. CHERYL BAYER BRADY",LOS ANGELES,34.0297986,-118.4486846,30,Closed,11/10/11,9/30/13,2,11-Nov,13-Sep,1091
DAY CARE CENTER,"CRYSTAL STAIRS, INC - CENTURY",1700 IMPERIAL HIGHWAY,y,"CRYSTAL STAIRS, INC.",LOS ANGELES,33.9295048,-118.2434682,80,Licensed,11/28/12,,1,12-Nov,,123
DAY CARE CENTER,CTR. FOR COMM. & FAMILY SERVICES-GLENDALE AVE SITE,610 N. GLENDALE AVENUE,,CENTER FOR COMMUNITY & FAMILY SERVICES,GLENDALE,34.1551265,-118.2423307,80,Closed,3/20/01,10/7/11,2,1-Mar,11-Oct,1114
DAY CARE CENTER,CULVER CITY MONTESSORI PRESCHOOL,11269 W. WASHINGTON BLVD.,n,"POONJA, YAZMIN",CULVER CITY,34.0053161,-118.4143932,66,Licensed,8/23/02,,1,2-Aug,,1118
DAY CARE CENTER,DELANEY WRIGHT FINE ARTS PRESCHOOL,6125 CARLOS AVENUE,n,ST. STEPHEN'S EPISCOPAL CHURCH IN HOLLYWOOD CA,LOS ANGELES,34.1036317,-118.3230725,90,Licensed,12/8/09,,1,9-Dec,,1145
DAY CARE CENTER,DIAMOND BAR MONTESSORI ACADEMY,23555 PALOMINO DR.,n,"SURPRIS, INC. A CALIFORNIA CORPORATION",DIAMOND BAR,34.0230688,-117.8093431,100,Licensed,12/28/07,,1,7-Dec,,1171
DAY CARE CENTER,DIAMOND CANYON CHRISTIAN PRESCHOOL,3338 DIAMOND CANYON RD.,n,FIRST CHRISTIAN CHURCH OF ROWLAND HEIGHTS,DIAMOND BAR,33.9650458,-117.8524101,100,Licensed,3/31/98,,1,Mar-98,,1172
DAY CARE CENTER,DIANE FEINSTEIN HOUSE SCHOOL READINESS CENTER,1673 E. IMPERIAL HWY,,"PARENTS OF WATTS WORKING WITH YOUTH & ADULTS, INC.",LOS ANGELES,33.929786,-118.243702,20,Closed,6/10/02,11/16/15,2,2-Jun,15-Nov,1174
INFANT CENTER,DIANE FEINSTEIN HOUSE SCHOOL READINESS CENTER,1673 E. IMPERIAL HIGHWAY,,"PARENTS OF WATTS WORKING WITH YOUTH & ADULTS, INC.",LOS ANGELES,33.929786,-118.243702,4,Closed,8/20/04,11/16/13,2,4-Aug,13-Nov,3807
INFANT CENTER,DISCOVERY MONTESSORI PRESCHOOL INC.,2451 E. GARVEY AVENUE,,"LEULA, NILANI",WEST COVINA,34.0726816,-117.8924491,8,Closed,,6/21/13,2,,13-Jun,3810
DAY CARE CENTER,DISCOVERY MONTESSORI SCHOOL,2451 E. GARVEY AVE. NORTH,n,NILANI LEULA,WEST COVINA,34.0726816,-117.8924491,53,Licensed,7/26/04,,1,4-Jul,,1180
DAY CARE CENTER,DOMINO'S EARLY LEARNING ACADEMY,3801 CORTLAND AVENUE,,"DOMINO'S NURSERY CENTER, INC.",LYNWOOD,33.9225745,-118.2011358,60,Closed,4/5/04,10/19/12,2,4-Apr,12-Oct,1194
DAY CARE CENTER,DORRIS PLACE ELEMENTARY,2225 DORRIS PLACE,,LAUSD/EARLY CHILDHOOD EDUCATION,LOS ANGELES,34.09127,-118.238638,19,Closed,11/13/08,8/23/11,2,8-Nov,11-Aug,1199
DAY CARE CENTER,EVANS HEAD START/STATE PRESCHOOL,717 N. FIGUEROA ST.,n,"FOUNDATION FOR EARLY CHILDHOOD EDUCATION, INC.",LOS ANGELES,34.0640804,-118.2457841,30,Licensed,9/11/92,,1,Sep-92,,1325
DAY CARE CENTER,FIRST 5 LA,750 N. ALAMEDA,n,"LA PETITE ACADEMY, INC.",LOS ANGELES,34.0551905,-118.2373414,40,Licensed,5/2/05,,1,5-May,,1352
INFANT CENTER,FIRST 5 LA,750 N. ALAMEDA,n,"LA PETITE ACADEMY, INC.",LOS ANGELES,34.0551905,-118.2373414,28,Licensed,5/2/05,,1,5-May,,3841
DAY CARE CENTER,FIRST PRESBYTERIAN CHURCH OF HOLLYWOOD PRE-SCHOOL,1785 LA BAIG ST.,n,FIRST PRESBYTERIAN CHURCH OF HOLLYWOOD,HOLLYWOOD,34.103783,-118.3206976,98,Licensed,8/19/04,,1,4-Aug,,1371
DAY CARE CENTER,FIRST STEPS,6245 HONOLULU AVE,n,PRESCHOOL EDUCATIONAL CORP,LA CRESCENTA,34.2326907,-118.2681102,91,Licensed,8/26/14,,1,14-Aug,,1377
DAY CARE CENTER,FLORES DE VALLE,225 N. AVENUE 25,y,"PLAZA DE LA RAZA CHILD DEVELOPMENT SERVICES, INC.",LOS ANGELES,34.0784675,-118.2188097,66,Licensed,5/24/07,,1,7-May,,1388
DAY CARE CENTER,FOOTHILL CHRISTIAN PRE-SCHOOL,242 WEST BASELINE,n,"FOOTHILL CHRISTIAN CENTER AOG OF GLENDORA, CA",GLENDORA,34.1210208,-117.8671836,114,Licensed,2/5/87,,1,Feb-87,,1390
DAY CARE CENTER,FOOTHILL PROGRESSIVE MONTESSORI SCHOOL,827 HOUSEMAN STREET,n,"FOOTHILL PROGRESSIVE MONTESSORI & ACADEMY, INC.",LA CANADA,34.2048167,-118.1969693,62,Licensed,1/8/10,,1,10-Jan,,1396
DAY CARE CENTER,FOUNTAIN AVENUE HEAD START,5636 FOUNTAIN AVE.,n,FOUNDATION FOR EARLY CHILDHOOD EDUCATION INC.,LOS ANGELES,34.0947318,-118.3122415,68,Licensed,4/22/94,,1,Apr-94,,142
INFANT CENTER,FUTURE KIDS LEARNING ACADEMY,736 W. 228 STREET,n,"FUTUREKIDS LEARNING ACADEMY, LLC",TORRANCE,33.8187109,-118.2888504,11,Licensed,8/4/15,,1,15-Aug,,3848
INFANT CENTER,FUTURE KIDS LEARNING ACADEMY (INFANT),736 W. 228TH STREET,,"DERANIYAGALA, SHEELA",TORRANCE,33.8187109,-118.2888504,11,Closed,4/18/07,3/8/11,2,7-Apr,11-Mar,3849
DAY CARE CENTER,FUTURE KIDS LEARNING ACADEMY (PRESCHOOL),736 W. 228 TH STREET,n,"FUTUREKIDS LEARNING ACADEMY, LLC",TORRANCE,33.8187109,-118.2888504,39,Licensed,4/18/07,,1,7-Apr,,1422
DAY CARE CENTER,GAN ISRAEL PRESCHOOL,18181 BURBANK BLVD,n,"FRIENDS OF LUBAVITCH, INC",TARZANA,34.1726329,-118.5287653,139,Licensed,7/3/96,,1,Jul-96,,1432
DAY CARE CENTER,GARCIA PARK HEAD START,1016 S. FRESNO ST.,y,FOUNDATION FOR EARLY CHILDHOOD EDUCATION,LOS ANGELES,34.0275346,-118.2068933,34,Licensed,8/24/95,,1,Aug-95,,1436
DAY CARE CENTER,GARDEN OF PROGRESS HEAD START,360 S. GLESS ST.,n,FOUNDATION FOR EARLY CHILDHOOD EDUCATION,LOS ANGELES,34.0435028,-118.2224528,34,Licensed,5/24/95,,1,May-95,,1438
DAY CARE CENTER,GILBERT A. CEDILLO HEAD START,2141 WORKMAN,n,"PLAZA DE LA RAZA CHILD DEVELOPMENT SERVICES, INC.",LOS ANGELES,34.06141,-118.2140377,29,Licensed,4/4/95,,1,Apr-95,,145
DAY CARE CENTER,GLENDALE,610 N. GLENDALE AVENUE,,COMMUNITY DEVELOPMENT INSTITUTE HEAD START,GLENDALE,34.1551265,-118.2423307,85,Closed,11/28/11,7/31/13,2,11-Nov,13-Jul,1469
DAY CARE CENTER,GLENDALE SHARON PRESCHOOL,626 N. PACIFIC AVE.,n,"GLENDALE SHARON PRESCHOOL,INC.",GLENDALE,34.1550136,-118.2643536,30,Licensed,7/8/98,,1,Jul-98,,1480
DAY CARE CENTER,GRACE LUTHERAN CHURCH,245 W. WARDLOW ROAD,n,GRACE LUTHERAN CHURCH,LONG BEACH,33.819638,-118.194858,70,Licensed,9/20/89,,1,Sep-89,,1511
DAY CARE CENTER,GREAT VISION PRESCHOOL,"709, 714 N. ALEXANDRIA AVENUE",n,"GREAT VISION CHURCH, THE",LOS ANGELES,34.084055,-118.297584,44,Licensed,1/7/13,,1,13-Jan,,1533
DAY CARE CENTER,"GREEN BEGINNING COMMUNITY PRESCHOOL, LLC.",3047-49 S. ROBERTSON BOULEVARD,n,"CABELLO, VERONICA",LOS ANGELES,34.0323114,-118.3908815,35,Licensed,8/16/10,,1,10-Aug,,1536
DAY CARE CENTER,HAMASAKI ELEMENTARY SCHOOL BUNGALOW,4865 E. FIRST STREET,,LAUSD/EARLY CHILDHOOD EDUCATION,LOS ANGELES,34.0372972,-118.1598944,22,Closed,8/26/96,8/23/11,2,Aug-96,11-Aug,1573
DAY CARE CENTER,HAMASAKI ELEMENTARY SCHOOL CSPP,4865 E. FIRST STREET,y,LAUSD EARLY CHILDHOOD EDUCATION,LOS ANGELES,34.0372972,-118.1598944,24,Licensed,4/22/13,,1,13-Apr,,1574
DAY CARE CENTER,HAMILTON,6330 S. FIGUEROA STREET,,COMMUNITY DEVELOPMENT INSTITUTE HEAD START,LOS ANGELES,33.9815827,-118.2823559,45,Closed,,5/10/11,2,,11-May,1575
DAY CARE CENTER,HAMILTON CHILD CARE CENTER/LA URBAN LEAGUE,6330 SO. FIGUEROA,,LA URBAN LEAGUE HEAD START PRE-SCHOOL,LOS ANGELES,33.9815827,-118.2823559,45,Closed,9/10/92,9/25/12,2,Sep-92,12-Sep,1576
DAY CARE CENTER,HAPPY SUNSHINE KIDS,169 NORTH HALSTEAD STREET,n,HAPPY SUNSHINE KIDS LLC,PASADENA,34.1493461,-118.0799453,87,Licensed,6/8/05,,1,5-Jun,,1591
INFANT CENTER,HAPPY SUNSHINE KIDS,169 NORTH HALSTEAD STREET,n,"HAPPY SUNSHINE KIDS, LLC",PASADENA,34.1493461,-118.0799453,8,Licensed,6/8/05,,1,5-Jun,,3875
SCHOOL AGE DAY CARE CENTER,HESBY OAKS ELEMENTARY SCHOOL,15530 HESBY STREET,n,"SIMPSON, NANCY AND MCMANUS, LINDA",ENCINO,34.1620383,-118.4732184,25,Licensed,4/28/08,,1,8-Apr,,4420
INFANT CENTER,HOPE ACADEMY INFANT/TODDLER CENTER,344 W. FLORENCE AVENUE,,HOPE ACADEMY LEARNING CENTER,LOS ANGELES,33.9743639,-118.2798833,21,Closed,7/5/07,1/31/12,2,7-Jul,12-Jan,3891
DAY CARE CENTER,HOPE ACADEMY LEARNING CENTER,344 W. FLORENCE AVENUE,,HOPE ACADEMY LEARNING CENTER,LOS ANGELES,33.9743639,-118.2798833,18,Closed,6/6/06,1/31/12,2,6-Jun,12-Jan,1679
DAY CARE CENTER,IGLESIA BAUTISTA/FRIENDSHIP CHILDREN'S CENTER,931 FRIGATE AVENUE,y,"COMMUNITY DEVELOPMENT CENTER, INC.",WILMINGTON,33.7809124,-118.2789714,130,Licensed,1/4/00,,1,Jan-00,,1706
DAY CARE CENTER,ILAN RAMON DAY SCHOOL,27400 W. CANWOOD STREET,n,ABRAHAM JOSHUA HESCHEL DAY SCHOOL - WEST,AGOURA,34.1391972,-118.7223218,90,Licensed,9/22/98,,1,Sep-98,,1710
DAY CARE CENTER,IQRA ELEMENTARY SCHOOL,11439 ENCINO AVENUE,n,"ISLAMIC CENTER, NORTHRIDGE",GRANADA HILLS,34.2785703,-118.5156367,26,Licensed,9/10/01,,1,1-Sep,,1729
INFANT CENTER,JEFFERSON CHILDREN'S CENTER,391 N. SIERRA BONITA AVENUE,,PASADENA UNIFIED SCHOOL DISTRICT,PASADENA,34.1530454,-118.1174333,30,Closed,,6/17/11,2,,11-Jun,3904
DAY CARE CENTER,JEFFERSON CHILDRENS CENTER,391 NORTH SIERRA BONITA,n,PASADENA UNIFIED SCHOOL DISTRICT CHILD DEVELOPMENT,PASADENA,34.1530454,-118.1174333,70,Licensed,5/9/95,,1,May-95,,1744
DAY CARE CENTER,JEFFERSON PRESCHOOL,1500 E. VILLA,n,PASADENA UNIFIED SCHOOL DISTRICT CHILD DEVELOPMENT,PASADENA,34.1535975,-118.1189857,76,Licensed,9/12/94,,1,Sep-94,,1745
DAY CARE CENTER,KID TOWN USA PRESCHOOL-MONTESSORI ACADEMY,13500 PARAMOUNT BLVD.,n,"TRIPLE D & CD, INC.",SOUTH GATE,33.912958,-118.1589729,144,Licensed,11/7/11,,1,11-Nov,,1828
DAY CARE CENTER,"KID TOWN, U.S.A.",13500 PARAMOUNT BOULEVARD,,"EVANS, TERESA & MCDERMOTT, LUCINDA & BOAND, NICOLE",SOUTH GATE,33.912958,-118.1589729,144,Closed,11/20/97,11/7/11,2,Nov-97,11-Nov,1829
DAY CARE CENTER,KIDS CLUB,23241 VENTURA BLVD. UNIT 111,n,"ROBERTS, TONY O",WOODLAND HILLS,34.1621816,-118.6322694,30,Licensed,,,1,,,1848
